"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Symbol-Front-USB";1;"LOGO";;;
2;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;",,,,";"buzzardLabel";5;"";;;
4;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
5;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
8;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
9;"K2";"USB_A_FEMALE_CONECTOR";1;"USB_A_FEMALE_CONNECTOR";;;
10;"";"Version1.0.0.";1;"";;;
